mun_codigo_ibge,mun_nome,mun_estado,mun_uf,mun_nome_uf,mun_localizacao,mun_capital_uf,mun_populacao,mun_regiao,mun_populacao_renda_baixa,mun_idhm_2010,mun_pib_mm,mun_repasse_2023_mm,mun_receita_impostos_mm,mun_capacidade_pagamento,mun_indice_br_conect,mun_pontuacao,mun_prioridade,mun_percentual_todo,mun_transito_municipalizado,mun_smartcity,mun_cep,mun_prefeito_2020,mun_prefeito_2024,mun_partido_2020,mun_partido_2024,mun_populacao_cleaned,faixa_populacao,latitude,longitude
1100015,Alta Floresta D'Oeste,Rondônia,RO,Alta Floresta D'Oeste - RO,BRASIL - RO,Porto Velho - RO,22516,Região 1,19242,"0,641","734,47","21,79","69,53","91,32","53,77",5,Prior. 3 Média,"0,000179533213644524",D E T R A N,-,76954-000,,GIOVAN DAMO,,UNIÃO,Faixa_ate_100000,-11.9283,-61.9953,NULL
1100023,Ariquemes,Rondônia,RO,Ariquemes - RO,BRASIL - RO,Porto Velho - RO,111148,Região 1,67022,"0,702","3209,76","49,80","297,88","347,69","67,35",9,Prior. 2 Alta,"0,000179533213644524",Trânsito Municipalizado,-,76870-001,CARLA GONÇALVES REZENDE,CARLA GONÇALVES REZENDE,PATRIOTA,UNIÃO,Faixa_100000_a_1000000,-9.90571,-63.0325,NULL
1100031,Cabixi,Rondônia,RO,Cabixi - RO,BRASIL - RO,Porto Velho - RO,5067,Região 1,4971,"0,65","238,41","9,34","30,12","39,45","26,76",4,Prior. 4 Baixa,"0,000179533213644524",D E T R A N,-,76994-000,IZAEL DIAS MOREIRA,SILVANO ASCARI DE ALMEIDA,PP,MDB,Faixa_ate_100000,-13.4945,-60.552,NULL
1100049,Cacoal,Rondônia,RO,Cacoal - RO,BRASIL - RO,Porto Velho - RO,86416,Região 1,59402,"0,718","2792,38","43,58","246,51","290,09","65,71",9,Prior. 2 Alta,"0,000179533213644524",Trânsito Municipalizado,-,76960-001,ADAILTON ANTUNES FERREIRA,ADAILTON ANTUNES FERREIRA,PSD,PSD,Faixa_ate_100000,-11.4343,-61.4562,NULL
1100056,Cerejeiras,Rondônia,RO,Cerejeiras - RO,BRASIL - RO,Porto Velho - RO,16088,Região 1,13261,"0,692","743,04","18,68","58,33","77,01","63,23",5,Prior. 3 Média,"0,000179533213644524",D E T R A N,-,76997-000,LISETE MARTH,SINÉSIO JOSÉ DE SOUZA,PV,UNIÃO,Faixa_ate_100000,-13.187,-60.8168,NULL
1100064,Colorado do Oeste,Rondônia,RO,Colorado do Oeste - RO,BRASIL - RO,Porto Velho - RO,15213,Região 1,14614,"0,685","424,81","18,68","56,65","75,33","39,87",4,Prior. 4 Baixa,"0,000179533213644524",Trânsito Municipalizado,-,76993-000,JOSE RIBAMAR DE OLIVEIRA,EDMILSON RODRIGUES DE ALMEIDA,PSB,PL,Faixa_ate_100000,-13.1174,-60.5454,NULL
1100072,Corumbiara,Rondônia,RO,Corumbiara - RO,BRASIL - RO,Porto Velho - RO,7052,Região 1,7095,"0,613","396,73","9,34","37,94","47,28","22,43",3,Prior. 4 Baixa,"0,000179533213644524",D E T R A N,-,76995-000,LEANDRO TEIXEIRA VIEIRA,LEANDRO TEIXEIRA VIEIRA,PSB,UNIÃO,Faixa_ate_100000,-12.9551,-60.8947,NULL
1100080,Costa Marques,Rondônia,RO,Costa Marques - RO,BRASIL - RO,Porto Velho - RO,19255,Região 1,10217,"0,611","316,67","18,68","40,89","59,56","24,74",3,Prior. 4 Baixa,"0,000179533213644524",D E T R A N,-,76937-000,VAGNER MIRANDA DA SILVA,FABIOMAR AGOSTINI BENTO,REPUBLICANOS,UNIÃO,Faixa_ate_100000,-12.4367,-64.228,NULL
1100098,Espigão D'Oeste,Rondônia,RO,Espigão D'Oeste - RO,BRASIL - RO,Porto Velho - RO,33009,Região 1,21826,"0,672","773,38","24,90","94,16","119,06","54,96",6,Prior. 2 Alta,"0,000179533213644524",Trânsito Municipalizado,-,76974-000,,,,,Faixa_ate_100000,-11.5266,-61.0252,NULL
1100106,Guajará-Mirim,Rondônia,RO,Guajará-Mirim - RO,BRASIL - RO,Porto Velho - RO,46930,Região 1,30064,"0,657","1054,18","31,13","110,46","141,59","61,10",6,Prior. 2 Alta,"0,000179533213644524",D E T R A N,-,76850-000,RAISSA DA SILVA PAES,FABIO GARCIA DE OLIVEIRA,MDB,PP,Faixa_ate_100000,-10.7889,-65.3296,NULL
